абажур|колпак для лампы, светильника
магнат|В феодальном и буржуазном обществе:обладатель больших поместий, богатств
магнезия|окись магния, белый легкий порошок, применяемый в медицине и промышленности
магнит|кусок железной руды, обладающий свойством притягивать железные или стальные предметы
магнолия|вечнозеленое дерево ил кустарник южных стран с крупными душистыми цветками
мадам|Во Франции и в некоторых других странах:вежливое обращение к замужней женщине (обычно перед именем, фамилией), госпожа
мадонна|У католиков:богородица
мажор|бодрое, веселое настроение
мазанка|дом, хата из глины или обмазанного глиной дерева, самана, кирпича
мазок|наложение краски отрывистым, коротким движением кисти, а так же слой краски, наложенный таким движением
мазут|густые маслянистые остатки, получаемые после перегонки нефти
мазь|наружное лекарство - мягкая смесь жиров с лечебными веществами
май|пятый месяц календарного года
майна|У такелажников, строителей:опускай вниз;
майонез|соус из растительного масла, уксуса, яичного желтка и различных приправ
майор|офицерское звание или чин рангом выше капитана и ниже подполковника
майя|индейский народ в Мексике, создатель одной из древнейших американских цивилизаций
мак|травянистое растение с длинным стеблем и крупными, чаще красными, цветками
макака|небольшая узконосая обезьяна
макароны|изделие из пшеничной муки в виде длинных высушенных трубочек
макет|модель, предварительный образец
маклер|посредник при заключении торговых сделок; вообще посредник при заключении каких-нибудь сделок
маковка|плод мака, его семенная коробочка
макушка|верхняя часть головы
малек|маленькая рыбка или моллюск, недавно вышедшие из личинки, из яйца
малец|парень, подросток, мальчик
малина|напиток из сушеных ягод этого растения
малинник|заросль малины
малодушие|отсутствие твердости духа, решительности, мужества
малый|недостаточный по размеру, узкий, тесный
малыш|ребенок, маленький мальчик
мальчик|ребенок мужского пола
малютка|маленький ребенок, младенец
малявка|очень маленькая рыбка
маляр|рабочий, занимающийся окраской зданий, помещений
малярия|инфекционная болезнь, передающаяся некоторыми видами комаров, сопровождающаяся приступами лихорадки, малокровием
мамалыга|густая каша из кукурузной муки или крупы
мамаша|к пожилой женщине.+
маменька|мама, мать
мамонт|ископаемое млекопитающее семейства слонов с длинной шерстью и большими загнутыми бивнями
манатки|мелкие вещи, пожитки
мандарин|В феодальном Китае:крупный чиновник
мандат|документ, удостоверящий те или иные полномочия предъявителя, право на что-нибудь
мандолина|струнный щипковый музыкальный инструмент с овальным корпусом
маневр|передвижение локомотивов или вагонов на станционных путях для составления поездов
манеж|арена цирка
манекен|фигура в форме человеческого корпуса, употр. при шитье или отделке одежды
манер|каким-нибудь способом, образом
манера|способ что-нибудь делать, та или иная особенность поведения, образ действия
манжета|пристегнутый или пришитый обшлаг у рубахи, блузки
маникюр|уход за ногтями на пальцах рук
манифест|письменное обращение, воззвание, изложение каких-нибудь положений программного характера
манишка|белый нагрудник на мужской сорочке
мания|исключетельная сосредоточенность сознания, чувств на какой-нибудь одной идее
манна|по библейской легенде: пища, падавшая с неба для пудеев, странствовавших по пустыне
мановение|движение рукой, головой, выражающее приказание
манок|свисток, дудочка для подманивания зверей, птиц
манометр|прибор для измерения давления газа, жидкостей
мансарда|жилое помещение на чердаке крыши
мантия|широкая и длинная одежда в виде плаща
манто|широкое женское пальто, обычно меховое
маньяк|человек, одержимый манией
марабу|большая птица семейства аистов с неоперенной головой и длинным клювом
маразм|состояние полного упадка психофизической деятельности
марал|крупный сибирский и среднеазиатский олень с большими рогами
марафон|спортивный бег на 42 км 195 м
марганец|химический элемент, металл серебристо-белого цвета
маргарин|пищевой жир, имеющий вид сливочного масла - смесь растительных масел с животными жирами
марево|туманная дымка, непрозрачность воздуха
маринад|соус из уксуса, пряностей и масла
марихуана|наркотик, получаемый из индийской конопли
марка|торговый знак, клеймо на изделии, товаре
маркиз|  В некоторых странах Западной Европы:дворянский титул. средний между графом и герцогом
маркиза|жена или дочь маркиза
марксизм|созданное К. Марксом и Ф. Энгельсом и развитое В. И. Лениным учение о наиболее общих законах общественного развития, об исторической неизбежности социалистической революции, теория и тактика интернациональной классовой борьбы пролетариата
марксист|последователь марксизма
марля|тонкая хлопчатобумажная ткань из редко сплетенных нитей, применяемая г. образом в медицине
мармелад|конфеты густая сладкая масса, вырабатываемая из фруктово-ягодных соков, желейных веществ и сахара
мародер|грабитель, разоряющий население в местах военных действий, снимающий вещи субитых и раненых на поле сражения, занимающийся грабежом в местах катастроф
март|третий месяц календарного года
мартышка|маленькая узконосая обезьяна с длинными задними ногами и длинным хвостом
марш|способ строго размеренной ходьбы в строю
маршал|воинское звание выше генеральского, присваиваемое за выдающиеся заслуги в руководстве войсками
маршрут|путь следования
маска|книжн.притворный вид, видимость (какого-нибудь чувства, отношения)
маскарад|бал, гулянье, участники которого надевают маски, характерные костюмы
масленица|старинный славянский праздник проводов зимы, от которого сохранился обычай печь блины и устраивать увеселения
масленка|столовая посуда для сливочного масла
масленок|съедобный трубчатый гриб со слизистой кожицей на желто-коричневой шляпке
маслина|вечнозеленое дерево и кустарник
масло|такое вещество как пищевой продкут
масон|последователь масонства, член масонской ложи
масонство|возникшее в 18 в. религиозно-философское течение с мистическими обрядами и обычно соединяющее задачи нравственного самоусовершенствования с реакционными взглядами в политике
масса|тестообразное, бесформенное вещество, густая смесь
массаж|растирание тела, лица с лечебными или гигиеническими целя ми
массажист|специалист по массажу
массив|большое пространство, однородное по каким-нибудь признакам
массовка|массовая сцена (в кино, театре)
мастер|руководитель отдельной специальной отрасли какого-нибудь производства, цеха
мастика|ароматическая смола некоторых деревьев
мастит|воспаление молочной железы
масть|часть колоды игральных карт, отличающаяся по цвету и форме очков. о ком-чем-нибудь, представлющем собой совокупность различных направлений, взглядов
масштаб|размах, охват, значение
мат|В шахматах:такое положение короля, при котором ему нет защи ты; поражение в игре
математик|специалист по математике
материал|собрание документов пр какому-нибудь вопросу
материк|У моряков:суша, земля в отличие от водного пространства или островов
материя|устар. и ирон.предмет речи, разговора
матка|самка-производительница у животных
матрас|мягкая толстая стеганая подстилка на кровать или предмет для спанья с твердым каркасом
матрешка|полуовальная полая разнимающая посередине деревянная расписная кукла, в которую вставляются другие такие же куклы меньшего размера
матрица|зеркальная копия печатной формы, служащая для отливки стереотипов
матрона|разг. ирон.о полной, солидной женщине
матрос|моряк, не принадлежащий к командному составу, рядовой фло та
матроска|матросская блуза с большим прямым отложным воротником
матушка|жена священника
матч|В спортивных играх:состязание
мать|самка по отношению к своим детенышам
маузер|Родавтоматического пистолета (в конце 19 в. также винтовка и револьвер особой системы)
мафия|тайная разветвленная террористическая организация крупных уголовных преступников
мах|размах ног животного при беге
махина|большой, громоздкий предмет
махинация|жульнические действия, нечестная проделка
махорка|курительный табак низшего сорта
мачеха|жена отца по отношению к его детям от прежнего брака
мачта|вертикальная конструкция на палубе (на парусных судах - для установки парусов)
машина|У спортсменов:мотоцикл, велосипед
машинист|специалист по вождению поездов
машинка|механический прибор для производства какой-нибудь работы
маэстро|почетное название крупных музыкантов, живописцев
маяк|башня с сигнальными на берегу моря, наострове, в устье рек
маятник|колесо, регулирующее ход часов
мгла|непрозрачный воздух (от тумана, пыли, дыма сгущающихся сумерек)
мгновение|очень короткий промежуток времени, момент, миг. (мгновенно)
мебель|предметы для сидения, лежания, размещения вещей и других потребностей быта
мегафон|рупор, усилитель голоса
мед|старинный легкий хмельной напиток
медалист|человек, который награжден медалью (на конкурсах, за успехи в учебе, как победитель в состязаниях)
медаль|знак в виде круглой металлической пластинки с различными изображениями, присуждаемый в награду за что-нибудь или отливаемый в память о каком-нибудь событии
медальон|носимое на шее ювелирное изделие в форме плоского овально го или круглого футлярчика, в который вставляется какое-нибудь изображение или вкладывается что-нибудь на память
медведица|самка медведя
медведь|крупное хищное млекопитающее с длинной шерстью и толстыми ногами
медик|специалист по медицине, по медицинской помощи
медицина|совокупность наук о здоровье и болезнях, о лечении и предупреждении болезней
медпункт|Сокращение:медицинский пункт - амбулаторный пункт при каком-нибудь учреждении, предприятии
медсанбат|Сокращение:медико-санитарный батальон
медсестра|Сокращение:медицинская сестра
медуза|беспозвоночное морское животное с прозрачным студенистыс телом, по краям снабженным щупальцами
медь|химический элемент, металл красновато-желтого цвета, вязкий и ковкий
медяк|медная монета
межа|граница земельных участков
мезонин|надстройка над средней частью небольшого жилого дома
мел|мягкий белый известняк, употр. в промышленности, для окрас ки, писания
мелкота|мелочь, мелкие существа, предметы
мелок|кусочек мела для писания, черчения, рисования
меломан|страстный любитель пения и музыки
мелочь|ничтожное обстоятельство, пустяк
мель|мелководное место в реке, водоеме
мельница|ручная машинка для размола зерна
мельхиор|серебристо-белый сплав меди с никелем и некоторыми другими элементами
мембрана|упругая перепонка, тонкая пленка или пластинка, способная совершать колебания
мемориал|спортивное соревнование в память выдающихся спортсменов
менеджер|специалист по управлению производством, работой предприятия
менингит|острое заболевание - воспаление мозговых оболочек
менуэт|старинный французский народный и бальный танец
меньшевик|член меньшевистской партии, последователь меньшевизма
меню|подбор кушаний
мера|средство для осуществления чего-нибудь, мероприятие
мерзавец|подлый, мерзкий человек, негодяй
мерзлота|состояние почвы, содержащей в себе лед
мерзость|гадкий поступок; отвратительные слова
меридиан|воображаемая линия, проходящая через полюсы земного шара и пересекающая экватор
мерин|кастрированный жеребец
мерка|определенный размер
мертвец|умерший человек, покойник
мертвый|умерший, лишенный жизни
месиво|корм для скота, птицы из смеси отрубей, мякины, травы, корнеплодов
месса|хоровое музыкальное произведение, предназначенное для литургии
мессия|В иудаизме и христианстве:ниспосланный свыше божественный спаситель человечества
местечко|На Украине, в Белоруссии до революции:поселок полугородского типа
местком|Сокращение:местный комитет (профсоюзной организации) - прежнее название профкома
местность|какое-нибудь определенное место, пространство, участок на земной поверхности
место|подобает, уместно (быть, находиться где-нибудь, делать что-нибудь где-нибудь)
месть|действие в отплату за причиненное зло, возмездие за что-нибудь
месяц|единица исчисления времени по солнечному календарю, равная одной двенадцатой части года (от 28 до 31 суток): срок в 30 суток. (в течение нескольких месяцев)
металл|химически простое вещество, обладающее особым блеском, ковкость, хорошей теплопроводностью и электропроводностью
металлист|работник металлопромышленности, специалист по металлам, по металловедению
металлург|специалист по металлургии
метан|горючий болотный или рудничный газ без цвета и запаха, соединение углерода с водородом
метастаз|развитие вторичных очагов болезненного процесса в новых местах организма
метафизик|идеалист, сторонник метафизических взглядов
метафора|оборот речи - употребление слов и выражений в переносном смысле на основе аналогии, сходства, сравнения
метель|сильный ветер со снегом, вьюга
метеор|вспышка небольшого небесного тела, влетающего в верхнюю атмосферу из космоса
метеорит|металлическое или каменистое тело, падающее на Землю из межпланетного пространства
метла|предмет хозяйственного обихода для подметания - прикрепленный к палке пучок прутьев
метод|способ теоретического исследования или практического осуществления чего-нибудь
метода|система практических способ осуществления чего-нибудь
методика|наука о методах преподавания
метр|основная единица длины в Международной системе единиц, равная 100 см
метрика|учение о стихотворных размерах и метрах 2
метроном|маятниковый прибор, отмечающий ударами короткие промежутки времени, употр. приопределении темпа в музыке и для отсчета времени на слух
мех|густой волосяной покров животного, шерсть
механизм|внутреннее устройство (система звеньев) машины, прибора, аппарата, приводящее их в действие
механик|специалист по механике (в 1 знач)
механика|наука о движении в пространстве и о силах, вызывающих это движение
меценат|В буржуазно-дворянском обществе:богатый покровитель наук и искусств; вообще тот, кто покровительствует какому-нибудь делу, начинанию
меч|холодное оружие с обоюдоострым длинным прямым клинком
мечеть|мусульманский храм
мечта|разг. шутл.о чем-нибудь очень хорошем
мечтатель|человек, который предается мечтам, склонен к мечтательности
мешанина|смесь чего-нибудь разхнородного, путаница
мешковина|грубая ткань для мешков
мешок|сделанное из мягкого материала вместилище для чего-нибудь сыпучего, для различных мелких предметов
мещанин|человек с мелкими, сугубо личными интересами, с узким кругозором и неразвитыми вкусами, безразличный к интересам общества
мещанство|В царской России:сословие мещан, мещанское звание
миазмы|гнилостные испарения, запахи
миг|мгновение, очередь короткий промежуток времени
мигалка|коптилка со слабым мигающим огоньком
миграция|(о многих, многом)переселение, перемещение
мигрень|приступы боли в одной половине головы
мидия|съедобный двустворчатый морской моллюск
мизантроп|человек, склонный к мизантропии
мизинец|пятый, самый маленький палец на руке, на ноге
микроскоп|увеличительный прибор для рассматривания предметов, неразличимых простым глазом
микрофон|прибор, преобразующий звуковые колебания в электрические для усиления звучания
микстура|жидкое лекарство из смеси нескольких веществ
миледи|У англичан:почтительное обращение к замужней женщине из привилегированных классов
милиция|В СССР и некоторых других странах:административно-исполнительный орган, занимающийся борьбой с преступностью и правонарушениями, охраной общественного порядка и безопасности социалистической собственности, а также личной безопасности граждан и их имущества
миллиард|число и количество, равное тысяче миллионов
миллиметр|одна тысячная доля метра
миллион|число и количество, равное тысяче тысяч
миллионер|человек, который выполнил работу, результаты которой измеряютс миллионами едини ц
милорд|У англичан:почтительное обращение к мужщине из привилегированных классов
милостыня|то, что подается нищему, подаяние
милость|доброе, человеколюбивое отношение
милочка|Ласковое    к женщине, девочке.+
милый|дорогой, любимый
миля|путевая мера длины, различная в разных странах
мим|артист - исполнитель пантомимы
мимика|движение лица, выражающие внутреннее душевное состояние
мимикрия|У некоторых животных и растений:сходство окраски и формы с окружающей средой, способствующее им в борьбе за существование
минарет|башня при мечети, с которой муэдзин призывает на молитву
миндалина|парный орган лимфатической системы, расположенный в слизис той оболочке на стенке ротовой полости и глотки
миндаль|южное дерево или кустарник семейства розоцветных, с плодами - светлыми удлиненными орехами
минерал|естественное неорганическое образование кристаллической структуры, приблизительно однородное по химическому составу и физическим свойствам, залегающее в глубинах или на поверхности Земли и обычно служащее предметом добычи как полезно ископаемое
миниатюра|драматическое или музыкальное произведение малой формы (например интермедия, скетч, реприза)
минимум|минимальное, наименьшее количество, наименьшая вели&на в ряду данных
миномет|артиллерийское орудие навесного огня, стреляющее минами
миноносец|военный корабль с сильным торпедным вооружением - пред шественник эсминца
минус|знак в виде тире ( - ), обозначающий вычитание или отри цательную величину в математике
минута|единица времени, равная 1/60 часа и состоящая из 60 секунд; промежуток времени такой протяженности
миокард|мышечная ткань сердца
миома|доброкачественная опухоль из мышечной ткани
мир|отдельная область Вселенной, планета
мираж|оптическое явление - появление в атмосфере мнимых изобра жений отдаленных предметов
мировой|распространяющийся на весь мир 1, имеющий значение для всего мира 1
миска|посуда в форме маленького таза 1
мисс|В англоговорящих странах:вежливое обращение к девушке (обычно перед именем фамилией)
миссис|В англоговорящих странах:вежливое обращение к замужней женщине (обычно перед именем, фамилией)
миссия|постоянное дипломатическое представительство во главе с посланником или поверенным в делах
мистер|В англоговорящих странах:вежливое обращение к мужчине (обычно перед именем, фамилией)
мистерия|В Западной Европе:средневековая драма на библейские темы, сопровождавшаяся интермедиями
мистик|человек, который склонен к мистике, к религиозно-мистическому миросозерцанию
мистика|вера в божественное, в таинственный, сверхъестественный мир и в возможность непосредственного общения с ним
митинг|массовое собрание для обсуждения политических, злободневных вопросов
миф|недостоверный рассказ, выдумка
мичман|  В Военно-морском флоте:воинское звание лиц, добровольно проходящих службу сверх установленного срока
мишень|тот, кто (или то, что) является предметом каких-нибудь действий, нападок
мишура|металлические, посеребренные или позолоченные нити, идущие на изготовление галунов, парчовых тканей
младенец|дитя, маленький ребенок
мнение|суждение, выражающее оценку чего-нибудь, отношение к кому-чемун., взгляд на что-нибудь
множество|В математике:совокупность элементов, объединенных по какому-нибудь признаку
могила|яма для погребения тела умершего
могильник|древнее кладбище, место захоронения
могильщик|рабочий, занимающийся рытьем и засыпкой могил на кладбище
мода|(обычно об одежде)образцы предметов, отвечающие таким вкусам
модель|тип, марка контракции
модельер|специалист по изготовлению одежды
модерн|направление в изобразительном искусстве конца 19 - начала 20 в., противопоставл явшее себя искусству прошлого и стремившееся к конструктивности, чистоте линий, к лаконизму и целостности форм
модернист|последователь модернизма
модистка|мастерица, изготовляющая дамские шляпы
модуль|вообще отделяемая, относительно самостоятельная часть какой-нибудь системы, организации
мозаика|узор из скрепленных друг с другом кусочков смальты, разноцветных камешков, эмали, дерева
мозг|ткань, заполняющая череп некоторых животных и употр. как пища
мозжечок|участок ствола головного мозга, расположенный в задней части черепной коробки
мозоль|местное утолщение кожи от частого трения
мойва|маленькая рыбка семейства корюшек
мокрица|живущее в сырых местах мелкое ракообразное животное с большим количеством ножек
мокрота|слизистое выделение из дыхательных путей и легких
мол|примыкающее одним концом к берегу оградительное сооружение для защиты портовой акватории от морских волн
молва|слухи, толки
молебен|краткое богослужение(о здравии, блакополучии или хвалебное)
молекула|мельчайшая частица вещества, обладающая всеми его химическими свойствами
молитва|моление, обращенное к Богу, к святым
моллюск|беспозвоночное, с мягким телом животное, обычно покрытое раковиной
молния|мгновенный искровой разряд в воздухе скопившегося атмосферного электричества
молодежь|молодое поколение, молодые люди
молодец|молодой человек, сильный, крепкого сложения
молодняк|поросль молодого леса
молодость|возраст между отрочеством и зрелостью; период жизни в таком возрасте
молодуха|молодая замужняя женщина
молодчик|человек, обычно молодой, опасный или подозрительный для окружающих
молоко|белая жидкость (секрет 3), выделяемая грудными железами женщин и самок млекопитающих после родов для вскармливания младенца, детеныша
молокосос|человек, который слишком молод для суждения о чем-нибудь, для какого-нибудь дела
молот|спортивный снаряд для метания - ядро на тросе с ручкой
молотилка|сельскохозяйственная машина(или часть машины)для молотьбы
молоток|ручная машина ударного действия с механическим приводом
молох|о слепой и беспощадно убивающей силе
молочница|женщина, торгующая молоком вразнос по домам или с рук
молчун|неразговорчивый, молчаливый человек
моль|маленькая бабочка, гусеница которой является вредителем меха, шерсти, хлебных зерен, растений
мольба|горячая просьба
мольберт|подставка, на которой художник укрепляет подрамник с холстом, доску, картон
момент|обстоятельство, отдельная сторона какого-нибудь явления
монарх|глава монархии, общее название царей, королей, Императоров, султанов, шахов
монархист|реакционер, сторонник монархизма
монархия|форма правления, при которой верховая власть принадлежит единаличному (обычно наследственному) правителю
монастырь|территория, Храм и все помещения такой общины
монах|член религиозной общины, давший обет вести аскетическую жизнь
монета|металлический денежный знак
монитор|контролирующее или видеоконтролирующее устройство
монокль|оптический прибор для одного глаза вставляемый в глазную впадину
монолит|цельная каменная глыба
монолог|речь одного лица, обращенная к слушателям или к самому себе
монополия|крупное капиталистическое объединение, возникшее на основе концентрации производства и капитала с целью установления господства в какой-нибудь области хозяйства и получения максимальной прибыли
монстр|чудовище, урод
монтажник|специалист по монтажу конструкций
монтер|сварщик, установщик машин, механизмов
монумент|архитектурное или скульптурное сооружение в память о какомн. историческом лице, событии
мор|повальная смерть, эпидемия
моралист|человек, любящий морализировать
мораль|логический, поучительный вывод из чего-нибудь
морг|учреждение или специальное помещение для хранения трупов, их вскрытия и выдачи для захоронения
морда|передняя часть головы животного
мордобой|драка, битье по лицу
море|часть океана - большое водное пространство с горько-соленой водой
мореход|В старину:мореплаватель, открыватель морских путей
мореходка|мореходное училище
морж|крупное ластоногое морское северное млекопитающее с длинными клыками и усато й мордой
морзянка|телеграфный аппарат, передающий сообщения азбукой Морзе
морковка|один корешок моркови
морковь|огородное растение, корнеплод с оранжевым сладковатым утолщенным корнем
мормышка|искусственная приманка для рыбы, разновидность блесны
мороз|очень холодная погода
морока|нечто путаное, непонятное, в чем трудно разобраться
морс|прохладительный сладкий напиток из разбавленного водой сока ягод и плодов
морфий|наркотическое и болеутоляющее вещество, добываемое из млечного сока опиумного мака
морщина|складка, бороздка на коже лица, тела
моряк|человек, опытный в морском деле
москит|мелкое двукрылое насекомое южных стран, причиняющее болезненые укусы
мосол|кость (обычно большая, выступающая из-под кожи)
мост|линия дальней воздушной радио- или телевизионной связи, сообщения. имеющими других, прямых средств связи)
мот|расточительный человек, тот кто мотает 2 свои деньги, имущество
мотив|побудительная причина, повод к какому-нибудь действию
моток|ровно смотанные, намотанные на что-нибудь нитки, пряжа, проволока
моторист|рабочий, обслуживающий моторы, двигатели
моторка|моторная лодка
мотоцикл|открытая транспортная машина с двумя или тремя колесами, с двигателем внутренне го сгорания, расположенным впереди седла
мотыга|ручное земледельческое орудие для рыхления, копки - металлический или каменный наконечник, насаженный под углом на длинную рукоятку
мотылек|небольшая бабочка
мотыль|личинка комара, служащая наживкой при ловле рыбы на удочку или для кормления ак вариумных рыб
