brave|храбрый, смелый
caravan|фургон
fed|Кормивший
touch|соприкосновение, контакт
native|родной
washed|мыл, вымытый
multi|Много
cheque|банковский чек
attacks|Нападения
array|массив, множество, наряжать, украшать
enemies|Враги
naughty|непослушный
vivid|живой, яркий
made|делал, сделанный
net|сеть
visited|посетил
fantasy|воображение
daring|смелость, отвага; смелый, отважный
inquiry|расспросы, наведение справок
token|признак, примета
suburb|пригород, окраина
hiss|свистеть, шипеть, свист
hist|тише!, тс!
eighty|восемьдесят
usually|обычно, обыкновенно
mention|благодарность, упоминать
trial|попытка, испытание
ned|Нед
tragic|трагический
classes|занятия, уроки
purple|лиловый, малиновый
tribe|племя, клан
jazz|джаз
hazard|шанс, опасность
enjoy|любить, получать удовольствие
tasted|пробовал
new|новый
guess|отгадывать, догадка
beams|Лучи
hinge|петля, шарнир; висеть, вращаться на петлях
shorts|трусики
guest|гость
having|имеющий, обладающий
ballet|балет
tastes|имеет вкус
bullet|пуля
silas|Силас
root|корень
change|мелкие деньги, сдача, менять, пересаживаться
lead|вести, руководить
spoken|сказанный
leaf|лист
insects|Насекомые
jaws|Челюсти
pausing|Приостановка
capital|столица
surgery|хирургия, приемная хирурга
compact|компактный
march|маршировать
height|высота
medical|медицинский
rope|канат
nobles|Знать
marco|Марко
walrus|морж
popped|Совавший
lorry|грузовик
comma|запятая
execute|выполнять
lilac|сирень, сиреневый
watch|часы, cмотреть, наблюдать
wheels|Колеса
notable|заметный
fat|жирный
luck|удача, везение
canvas|холст, парус
far|далеко
lucy|Люси
display|показ, выставка
label|этикетка, приклеивать ярлык
rattle|трещать, греметь, грохотать; треск, грохот, погремушка, трещотка
fan|болельщик, поклонник
ajar|приоткрытый
borrow|брать в долг
roof|крыша
lean|прислоняться, наклоняться, наклон
fodder|фураж, корм
node|Узел
leak|просачиваться
often|часто
tough|жесткий
active|активный
make|делать, производить
leap|високосный, прыжок, прыгать
room|комната
sweater|эксплуататор
justice|справедливость
nan|Нэн
distant|дальний, далекий
tried|пытался
remarks|Замечания
through|через, сквозь
drawers|кальсоны
notably|исключительно
lavish|щедрый, обильный
trainer|тренер
gradual|постепенно
cottage|коттедж
nab|курок
asia|Азия
trained|обученный
classic|классический
mail|почта, отправлять
booking|продажа билетов
breeds|Породы
equal|равный
belfry|колокольня
main|главный
surgeon|хирург
rome|Рим
helping|помощь
freeze|замерзать
inside|внутрь, внутри
maid|горничная
venture|предприятие, риск
nat|Нат
castle|замок
dense|густой, плотный
nay|более того, даже; отрицательный ответ; отказ;
elated|окрыленный
circus|цирк, арена
brewing|затевающий, надвигающийся
diverse|разный, различный
deposit|взнос, вклад, залог, сдавать на хранение
puzzled|озадачен, поставлен в тупик
daisy|маргаритка
glow|сильный жар, накаляться
peered|Глядел
feral|Дикий
honey|мед
wilfrid|Вилфрид
slogan|лозунг
obvious|очевидный
rank|ряд, чин, выстраивать
errors|Ошибки
prickly|колючий
social|общественный
rang|звонил
asks|спрашивает
report|доклад, сообщать, рассказывать
empty|пустой
carrier|носильщик, транспортное средство
nations|Нации
rosy|розовый, румяный
hill|холм, гора
phantom|Фантом
dairy|молочный магазин
rose|роза
session|заседание
hoarse|хриплый
silence|молчание, тишина
needle|игла
bravery|храбрость, смелость
folding|складной
antique|древний
clamour|шум, крики
indeed|неужели, действительно
pebble|галька, горный хрусталь
europe|Европа
oxygen|кислород
finest|Самый прекрасный
broad|широкий
retired|отставной
rapt|восхищенный, похищенный
build|строить
dragged|Тянул
volcano|вулкан
riding|еду , верховая езда
adjust|регулировать, приспосабливать
built|строил, построенный
note|запись, записка, банкнота, записывать
crowded|многолюдный
water|вода, поливать, разбавлять
sickly|болезненный, нездоровый, тошнотворный
faith|вера
motley|разноцветный, пестрый
movie|кино, фильм
unknown|неизвестный
repose|полагаться, доверяться
diploma|диплом, свидетельство
fourth|четвертый
cigar|сигара
thinks|думает
omit|опускать, пропускать, упускать
club|клуб
clue|ключ , улика
square|площадь, квадратный
nose|нос
patch|заплатка
hike|путешествовать пешком
midst|середина
apply|обращаться, применять
envy|зависть, завидовать
marks|оценки
where|где, куда
fable|басня, сюжет
beast|зверь, животное
almost|почти, едва не
retreat|отступать, отступление, убежище
gentle|нежный, ласковый
rare|редкий, недожаренный
afresh|снова, опять
january|январь
wonder|удивляться
proceed|продолжать
action|действие, поступок
none|нисколько, совсем не, вовсе не
obscure|затемнять, затруднять понимание
workman|рабочий
clatter|стук, звон; стучать, греметь
mutton|баранина
hire|взять напрокат
eye|глаз
konrad|Конрад
jonas|Джонас
punch|пробивать , ударять кулаком, удар кулаком, пунш
blab|болтун, болтать
damage|повреждать, причинять ущерб
barbara|Барбара
console|утешать
forming|Формирование
restore|восстанавливать
dress|платье, одеваться
crushed|Сокрушенный
apple|яблоко
outwit|перехитрить
ferment|закваска, фермент; бродить
locks|Замки
rudder|руль
gently|мягко, кротко
penny|пенни
acting|временно исполняющий обязанности, игра
rainbow|радуга
lucidly|понятно, ясно
scale|масштаб
noon|полдень
aileen|Эйлин
proudly|гордо
circle|амфитеатр, круг
females|Женщины
sprung|Прыгал
unfair|несправедливый
guided|Управляемый
rate|тариф, расценка, степень, оценивать
paths|Дорожки
allows|Позволяет
below|ниже, внизу
lonely|одинокий
major|специализироваться, главный
pantry|кладовая, чулан
into|в
majesty|величественность, величество
problem|проблема
hint|намек, намекать
bottle|бутылка
daily|ежедневно
grammar|грамматика
luxury|роскошь
prank|проделка, разряжаться
anxious|беспокойный
remedy|лекарство
rash|стремительный, поспешный, опрометчивый; сыпь
bears|Медведи
tender|нежный
beard|борода
clothe|одевать
things|вещи, дела
spread|распространяться
gleam|проблеск, светиться
velvet|бархат, преимущество
timeout|Перерыв
bravely|смело
estate|поместье, имущество, сословие
faint|слабый
almond|миндаль, миндалина
limited|ограниченный
etc|И т.д
scar|шрам, рубец
ours|наш
blunt|притуплять
blew|дул
candle|свеча
hasten|торопить
yeah|да
hide|прятать, спрятать
solder|паять
richard|Ричард
bundle|узел, пакет
year|год
feature|особенность, характерная черта
selling|продажа
jake|Джейк
hairpin|шпилька
preview|предварительный просмотр
travels|Путешествия
bottom|дно, донышко
specify|точно определять, устанавливать, предписывать; детально излагать
dangers|Опасности
attic|чердак
admire|восхищаться
behave|вести себя
arduous|тяжелый, напряженный
glasses|очки
chase|охотиться, преследовать, погоня, охота
exposed|Выставленный
slower|медленнее
strike|ударять, забастовка
written|письменный, написанный
cringe|раболепствовать
furnace|печь, топка, горн
maud|Дорожный плед
dubious|сомнительный
annoy|досаждать, надоедать
citizen|гражданин
buffalo|буйвол
carter|возчик; ломовой извозчик
species|порода
delayed|отложен
mound|насыпь, холмик
liable|подлежащий, обязанный, ответственный
borne|ограниченный, с узким кругозором, узколобый, закостенелый
wolves|Волки
jail|тюрьма
young|молодой
admit|допускать
alter|изменять
charm|очарование
sticky|липкий, клейкий
picked|собранный, выбранный
narrow|узкий
mount|взбираться
thirsty|испытывающий жажду
sticks|Палки
basket|корзина
nut|орех
hick|провинциал, деревенщина
equally|поровну, одинаково, в равной степени
quickly|быстро
garden|сад
mate|товарищ
reflect|отражать, размышлять
arise|возникать, появляться
fairy|волшебный
glue|клей; клеить, приклеивать
perform|делать, выполнять
parsley|петрушка
parting|прощание
lantern|фонарь
adopted|Принятый
germany|Германия
glitter|блеск, блестеть
misery|страдания, нищета
vest|жилет , майка
china|фарфор
unhappy|несчастный, неудачный
eugene|Юджин
ranch|ранчо
orange|апельсин, оранжевый
enabled|Позволил
sniffed|Фыркал
mouth|рот
ducks|Утки
forest|лес
youth|молодежь
tactics|тактика
stared|пристальный
chalk|мел
syntax|Синтаксис
awhile|некоторое время
eggs|яйца
ceiling|потолок
several|несколько
freely|свободно
bingo|Лото
scarf|шарф
scare|испуг
reopen|возобновлять
quarter|четверть, квартал
uproar|шум, волнение
legal|законный
valid|правильный
powers|Полномочия
famous|известный
mouse|мышь
ere|До, перед, прежде чем; скорее чем
socks|носки
cloak|плащ, камера хранения
era|эра
romance|романтика, романтическая история
revive|оживать
leaving|уезжающий
child|ребенок
dirty|грязный
unusual|необычный
yours|ваш, ваши, твой, твои
granite|гранит
slang|жаргон
unleash|развязывать
slant|наклонный
mourn|сетовать
chill|холод, простуда
adult|взрослый
eliza|Элиза
general|общий
myth|миф
attire|украшение, наряд
effect|действие, влияние
ferry|перевоз
device|прибор, схема, проект, прием, устройство
err|Допустить ошибку
pretend|притворяться, делать вид
scan|Просмотр
parlour|кабинет
spurt|бить струей, делать внезапное усилие
high|высокий
lodge|разместить
very|очень, тот самый
surface|поверхность
mortal|смертный, смертельный
archie|Арчи
stare|пристальный взгляд
towards|к, в направлении
snigger|хихикать, хихиканье
info|Информация
mill|фабрика, завод, мельница
sheriff|Шериф
milk|молоко
mile|миля
mild|мягкий
arrived|приехал, прибыл
elf|Эльф
inga|Инга
nod|кивать головой, кивок
spruce|Ель
singing|Пение
mane|грива
cubic|кубический
random|случайный, беспорядочный
slammed|Хлопнул
again|снова
teeth|зубы
non|не
dusty|пыльный
not|не
many|много
solid|твердый
bubble|пузырь
nor|и не, также не
start|начинать, отправляться
now|сейчас
jungle|джунгли
prize|приз
saving|экономия
myself|себя, меня самого, себе, сам
strict|точный
shield|щит
oxbow|ярмо
mama|Мама
cells|Ячейки
range|ряд, линия, диапазон
valley|долина
dared|осмелившийся
escape|избежать, избегать
foolish|глупый
blanket|одеяло
robbery|грабеж
towers|Башни
upset|беспорядок, расстройство, расстроенный
genuine|подлинный
casual|случайный
mine|мой
patsy|Паци
mind|память, мнение, помнить, возражать
watcher|сторож, наблюдатель
tuesday|вторник
watches|часы
end|конец
options|Выбора
slowly|медленно
readily|охотно
shudder|дрожь, вздрагивать; содрогаться
vent|выпускать, испускать
male|мужчина, самец
mutter|бормотать
mint|мята
tackle|хватать
already|уже
anvil|наковальня
hauled|Буксируемый
blush|краснеть; краска стыда, смущения
keeper|хранитель, смотритель, сторож
process|процесс
really|на самом деле, действительно
darcy|Дарси
chair|стул
broadly|широко
beggar|нищий
chain|цепь
shuffle|шаркать
bloody|кровавый
reading|чтение
procure|доставать, добывать
elevate|поднимать, возвышать
italian|Итальянец
belong|принадлежать
furry|пушистый
decline|опускаться, уменьшаться, убывать
arched|Арочный
courage|мужество, смелость
mask|маска
beach|пляж
skip|пропускать (часто бывает при устано
egg|яйцо
skin|кожа
skim|просматривать, скользить
shrubs|кусты
pincers|клещи, щипцы
mass|масса, множество
scripts|Подлинники
mast|мачта
vaguely|Неопределенно
varnish|лак, лоск, лакировать
parties|вечеринки
dearest|Дорогой
organs|Органы
tenth|десятый
chief|шеф, начальник
acquit|оправдывать
forests|Леса
onward|вперед, далее, продвигающийся вперед
dream|мечтать, видеть сны
coward|трус
mark|норма, состояние, оценка, отметка
comer|приходящий
ninth|девятый
yell|пронзительный крик, кричать, вопить
crimson|алый, малиновый
thick|толстый, густой
senior|старший
decide|решать
blot|клякса, пятно, промокать
slave|раб
issue|выпуск, издание, выпускать
thrash|молотить, бить
state|государство, состояние
achieve|достигать, успешно выполнять
irene|Ирэн
veil|завеса, покрывало
quench|утолять
vein|вена, жила, жилка
because|потому что
wow|Ничего себе
landing|высадка на берег
designs|Проекты
quote|цитировать
leader|глава, лидер
won|победил, побежденный
ripen|зреть, созревать
plunder|добыча, грабить
blow|дуть
flatter|льстить
sternly|строго
minutes|минуты
inch|дюйм
vision|зрение, видение
tense|время
painful|причиняющий боль, мучительный
oranges|апельсины
lobster|омар
gates|стойки
decimal|десятичный, десятичная дробь
egypt|Египет
labour|труд, трудиться
amuse|забавлять, развлекать
blob|капля, комочек
ruffle|ерошить
beside|рядом, около
enlarge|увеличивать, расширять, распространяться l
address|адрес, обращение
bushes|кусты
vinegar|уксус
costume|костюм
thief|вор
special|специальный, особенный
turkey|индейка
nip|укус, щипать, пересечь
downy|пушистый
miss|промах, промахнуться, пропустить, скучать
mist|дымка
total|сумма, весь, полный
need|нуждаться в, надо, нужда, потребность
using|пользование
arch|арка, дуга
benefit|благо, польза
fish|рыба
higher|выше
captive|пленный
missing|недостающий, отсутствующий, пропавший
over|через, над, сверх
free|свободный
search|искать, обыскивать, поиск, обыск
oven|печь
snare|ловушка
flannel|фланель
trifle|пустяк
blacken|чернить, чернеть
snarl|рычать, огрызаться; рычание, ворчание
once|один раз, однажды
graze|задевать, оцарапать, содрать
parent|родитель, родственник
number|номер
attract|привлекать
apart|в стороне, отдельно
smoke|курить, курение, дым
uttered|Произнесенный
doubted|Подвергнутый сомнению
editor|редактор
marvel|удивляться, поражаться
salmon|лосось
fist|кулак
dainty|лакомство, деликатес
letters|письма
carrot|морковь
before|перед, до того как
screw|привинчивать, завинчивать, принуждать, винт
cereals|хлебные злаки, зерновые
mockery|издевательство
oil|масло
trouble|неприятность, беда, беспокоить, волноваться
stake|ставка, делать ставку
could|мог, могли
wet|мокрый
swamp|болото, топь
crashed|Потерпел крах
sand|песок
stair|лестница
sang|пел, спел
vapour|пар, пары
anxiety|тревога, беспокойство
firm|фирма, твердый, твердо, крепко
wrath|гнев, ярость
web|ткань, лента, перемычка
desired|Желательный
living|средства к существованию, жизнь
hermit|отшельник
stain|пятно, пятнать, пачкать
sank|тонул
fire|огонь, пожар
louder|громче
inland|внутренний
altered|Измененный
cobbler|сапожник
wealthy|богатый
clever|умный
fray|шумная ссора, обтрепываться
railing|ограда, перила
behalf|Защита
breed|порода
lecture|лекция
stall|партер
losing|проигрыш, проигранный
same|тот же, так же
taste|пробовать, иметь вкус
heron|цапля
who|кто
doctor|доктор, врач
close|закрывать
pause|пауза
slight|проявление пренебрежительного равнодушия;неуважение, пренебрежение, игнорирование
poll|подсчет , голосование; голосовать, подсчитывать голоса
pole|полюс
affairs|делишки
passage|проход
opinion|мнение
beagle|Гончая
proved|Доказанный
think|думать, мыслить
claims|Требования
winding|изгиб
get|получать, доставать, достигать, добраться
postal|почтовый
apology|извинение
grave|могила, серьезный, важный
sale|распродажа
cough|кашель
duchess|герцогиня
near|близко от, около
neat|чистый, опрятный
poke|толчок, тыкать
gravy|подливка, соус
stalk|стебель
icebox|холодильник
example|пример, образец
odd|странный
gem|драгоценный камень
veal|телятина
stale|черствый, затхлый
byword|поговорка, олицетворение
thing|вещь, предмет
salt|соль, соленый, солить
pound|фунт, фунт стерлингов
neck|шея
sake|ради, для
abate|уменьшить
today|сегодня, теперь, современный
retire|уходить, удаляться, оставлять должность
former|бывший
emma|Эмма
fits|подходит
throw|бросать
england|Англия
area|площадь, район
style|стиль, фасон, прическа
wit|ум, остроумие, остроумный человек, остряк
formed|сформировавшийся, организованный
golan|Голанский
types|Типы
pond|пруд
stamp|марка, печать, штемпелевать
wig|парик
five|пять
alluded|Ссылался
throb|пульсация, пульсировать
still|все еще, однако, тихий
win|выигрывать, побеждать
roast|жареный
capable|способный
persons|Люди
goats|Козлы
message|сообщение, поручение
stand|остановка, позиция, стенд, киоск, стоять, останавливаться
mission|миссия
off|прочь, от
arrival|прибытие
provoke|вызывать, провоцировать
hateful|ненавистный
visits|Посещения
odour|запах, аромат
why|почему
stomach|живот, желудок
sorrow|печаль
bands|ансамбли
curl|виться, завивать; локон, завиток
curb|сдерживать
court|корт, двор
receipt|квитанция
french|французский
impose|налагать
cure|лекарство, лечить
break|ломать
martial|военный
emerald|изумруд
bread|хлеб
pending|во время, в течение
only|только, единственный
import|импорт, ввоз
central|центральный
curt|краткий, сжатый, грубый
betty|Бетти
knife|нож
screen|экран, перегородка, прикрывать
ring|кольцо, звон, звонок, звенеть, звонить
fetch|приносить
heart|сердце
gag|затычка, кляп
welfare|благосостояние
loving|любящий
museum|музей
third|третий
detest|питать отвращение, ненавидеть
morrow|завтра, завтрашний день; следующий день
novelty|новизна, новинка
include|включать
upright|прямой, вертикальный, честный, справедливый
prime|главный
gas|газ
haughty|высокомерный, надменный
traffic|уличное движение
sitting|заседание
gay|веселый
poster|плакат
flurry|будоражить
bondage|рабство, зависимость
bandy|перебрасываться, хоккей, клюшка
abandon|отказываться, покидать, прекращать
rind|кожура, кора, корка
filch|Украсть
novel|роман
unseen|Невидимый
gap|брешь
beastly|противный
glossy|глянцевитый, блестящий
moment|момент, миг
talent|талант
arid|сухой, засушливый
sermon|проповедь
closet|чулан
protect|защищать, предохранять
cute|изящный, прелестный
icicle|сосулька
recover|выздоравливать
dizzy|головокружительный
heard|слушал, услышанный
scuffle|драка, потасовка
jackson|Джэксон
oak|дуб
indians|Индусы
dollar|доллар
closed|закрыл, закрытый
similar|похожий
files|Файлы
quicker|быстрее
clock|часы
mumble|бормотание
trout|форель
oar|весло
sparrow|воробей
differ|различать
flight|полет
kettle|чайник
ripe|спелый
falcon|сокол
healthy|здоровый
choked|Забитый
masses|Массы
save|спасать, хранить, экономить
count|считать, принимать во внимание
remains|Остается
fragile|хрупкий
arbour|беседка, дерево, ось
nursery|детский, ясли
niece|племянница
subtle|тонкий, неуловимый
prior|прежний
refuge|убежище
buffer|Буфер
mice|мыши
squeeze|выжимать, сжимать, давить, впихивать, сжатие, давка
flint|Кремень
torture|пытать, пытка
biology|биология
fling|бросать
musical|музыкальный, мюзикл
revolve|вращаться
enamel|эмаль, глазурь
issued|Выпущенный
liked|нравился, любил
ammonia|аммиак
heavy|тяжелый
machine|машина
dusk|сумеречный, неясный, сумерки
copies|Копии
clench|сжимать
pizza|пицца
operate|действовать
dust|пыль, вытирать пыль
issues|Проблемы
called|звонил, названный
stiff|негнущийся, застывший, холодный, натянутый
stack|стог, куча, груда
oars|вёсла
comics|комиксы
cotton|хлопок, хлопчатобумажный
wan|бледный, изнуренный
stick|палка, приставать
frog|лягушка
earnest|серьезный
wax|воск, восковой
way|дорога, путь, способ
from|от, из
durable|прочный
believe|верить
stage|сцена, эстрада, ставить
hurried|спешил, торопился
war|война, воевать
network|сеть
was|был
risk|риск, рисковать
army|армия
staff|штат, персонал, штаб
mould|плесень; плесенный грибок
poet|поэт
duty|долг, обязанность, пошлина
linger|медлить, задерживаться
rise|подниматься, восходить, подъем, повышение
able|способный
seaweed|Морская водоросль
driver|водитель, шофер
arms|оружие
prevail|торжествовать
swarm|рой, толпа; роиться, толпиться
poem|стихотворение, поэма
receive|получать
between|между
morton|Мортон
jessie|Джесси
susan|Сьюзен
hover|парить, вертеться
growing|растущий
oath|клятва, присяга
nancy|Нэнси
intent|намерение, цель
print|печатать, напечатать
aroused|разбуженный
geoff|Джеф
arson|поджог
mason|каменщик
wag|махать, трясти
renting|аренда, снятие комнаты
nell|Нелл
intend|намереваться
wad|прокладывать
found|нашел, найденный
juicy|сочный, дождливый
handle|обращаться с, управлять
wood|лес, древесина, дрова
arts|Искусства
arrow|стрела
sleigh|сани, салазки
rage|гнев, ярость
assure|уверять, обеспечивать
herring|сельдь
scrub|тереть
pride|гордость
danger|опасность
forward|передовой, вперед, впредь
juice|сок
wool|шерсть
dying|погибающий
pounce|налетать
serve|служить, обслуживать, подавать
bella|Белла
defined|Определенный
honor|Честь
kitchen|кухня
declare|декларировать
price|цена
supper|ужин
owl|сова
coming|приход, приходящий
warmth|тепло, теплота, сердечность
split|раскалывать
own|иметь, владеть, свой, собственный
face|лицо
wheel|колесо
pounds|фунты
stayed|остался
next|следующий, соседний, затем, потом
bucket|ведро
belly|живот, аппетит
cheaply|дешево, легко
survive|пережить
molly|Молли
lapse|описка
happy|счастливый
motor|мотор
possess|обладать
fur|мех, шкура
ruins|Руины
caught|ловил
notice|извещение, сообщение, замечать, обращать внимание
hair|волосы
kitty|цель
resent|обижаться, возмущаться
hail|приветствовать
fade|увядать
rift|трещина, щель, ущелье
news|новости, известия
snack|закуска, часть, доля
angle|угол, точка зрения
fact|сущность, факт
gladly|С удовольствием
ginny|Гинни
prompt|проворный, быстрый
raft|плот
agree|соглашаться
breadth|ширина, полотнище
faces|выходит, стоит лицом
dreams|мечты
dreamt|мечтал
inner|внутренний
minor|младший, незначительный, второстепенный
seize|хватать -e
rake|грабли, сгребать
ransom|выкуп, выкупать
marsh|болото
watery|водянистый, дождевой, бесцветный
alley|аллея, переулок
muddy|грязный, мутный
allen|Аллен
morsel|кусочек -l
woke|будил
bakery|пекарня
varying|Изменение
fallen|упавший
duke|герцог
marry|жениться, выходить замуж
charges|издержки, расходы
index|индекс, указатель, показатель
rotten|гнилой, отвратительный
victim|жертва
dispute|диспут, полемика, обсуждать
coffee|кофе
billion|биллион, миллиард
poison|яд, отравлять
fun|шутка, веселье
shiver|дрожать, дрожь, трепет
size|размер, величина, измерить
angel|ангел
glacier|ледник, глетчер
inform|сообщать
anger|гнев, злость
weeping|Плач e
vicious|порочный
shutter|ставень, затвор
darker|Более темный
beehive|улей
require|требовать
foreign|иностранный
killing|убийственный
devoted|преданный
result|результат
raid|нападение
dump|разгружать
tube|труба
well|хорошо, очень, добро, здоровый
compass|объем, диапазон; компас; циркуль
owe|быть должным
impulse|побуждение, порыв
knight|рыцарь
dumb|немой, бессловесный, бестолковый
neatly|аккуратно
dangle|качаться, подвешивать
rail|рельс
supply|снабжать
droop|поникать
rain|дождь
animal|животное
unite|соединять
clip|стричь, обрезать, зажимать
consent|разрешение
dull|скучный
cups|чашки
nest|гнездо
duly|должным образом
whistle|свист, свистеть
units|единицы
resume|итог, сводка, возобновлять, подводить итог
fro|обратно
yoke|иго, ярмо
squad|команда
wolf|волк
unity|единство
farther|дальше
views|Представления
grain|зерно
drops|Снижения
server|Прислуга
rapture|восторг, восхищение
harvest|урожай
fry|жарить
our|наш
out|вне, вон, из, снаружи, наружный
waste|тратить, использованный, негодный
flash|вспышка, сверкать
flask|фляжка
marble|мрамор
via|через
cursor|Курсор
fox|лиса
for|для, за, на
sober|трезвый
hundred|сто
angry|сердитый
falling|падение
vexed|сердил, раздражал
went|шел, ехал
jenny|Дженни
whence|Откуда
authors|Авторы
cover|покрывало, крышка
uneasy|встревоженный, неловкий
fail|недоставать, не хватать;  обмануть ожидания
file|картотека
opt|выбирать
groups|Группы
grasp|понять, схватить
glad|рад
grass|трава
preach|проповедовать
cricket|крикет
hideous|безобразный, уродливый, страшный
compare|сравнивать
guilty|виноватый
table|стол, таблица, расписание
create|создавать
fair|любезно, хорошо, справедливый
hunger|голод
locked|запертый
dreary|мрачный, унылый, скучный
flare|вспыхивать; вспышка, осветительная ракета
evil|зло, злой
rapidly|быстро
bruise|ушибать, синяк, ушиб
pressed|поглаженный, сжатый
warmly|тепло (-- как?
query|вопрос, спрашивать
ardour|жар, пыл, рвение
ground|земля
wept|Плакал
trying|ищу
cargo|груз
wanted|хотел, желанный
minds|ум
daytime|дневное время
pollen|Пыльца
grate|каминная решетка
cloth|ткань
dates|даты
judge|судья
union|союз
compile|составлять
highly|очень, весьма
weapons|Оружие
pockets|карманы
fake|подделка
stolen|украденный
united|объединенный
desert|пустыня
miracle|чудо
fairfax|Фаирфакс
crystal|хрусталь
saint|святой
visitor|гость
utterly|совершенно
quest|поиски
cares|заботится, переживает
snake|змея
article|статья, предмет, изделие
fog|туман
fall|падать
foe|враг
amends|возмещение
cloud|облако
clearly|ясно
wander|бродить, блуждать
lump|глыба, ком
old|старый
grant|дарить, дар
rack|полка для багажа над сиденьем
fried|жареный
fortune|удача, счастье
twinkle|мерцать, сверкать, мигать, мелькать
race|раса, гонка
fame|слава, известность
silly|глупый
were|были
please|пожалуйста
grand|величественный
humour|юмор, настроение
three|три
duck|утка
pleased|довольный
cards|карточки
work|работать, делать, работа, труд
worm|червь, глист, ничтожество
flank|фланг
worn|потёртый, изношенный
dialect|Диалект
letter|письмо
albert|Альберт
flu|грипп
pacific|мирный
tune|мотив
cattle|скот
colours|цвета
heavily|тяжело
threw|бросал
cuff|наручники, лёгкий удар
clerk|чиновник
fang|клык, корень зуба, зубец
fly|летать
program|программа
company|компания, общество
stitch|стежок, петля , шить
word|слово, обещание
even|даже
wore|носил, изнашивал
brush|щетка, чистить щеткой
palace|дворец
passing|прохождение
west|запад
skilful|квалифицированный, умелый, ловкий
ever|когда-либо
ride|езда, прогулка
clay|глина, земля
dancing|танцы
firing|Увольнение
allow|разрешать, разрешить
caution|осторожность
fig|Рис.
alloy|примесь, сплав
pepper|перец
fin|плавник
luke|Лук
recent|недавний
fir|пихта, ель
flame|пламя
minute|минута
brute|зверь, скотина
fit|подходить, соответствовать, устраивать
officer|служащий, офицер
dipper|черпак, ковш
fix|починить, наладить, назначить
notify|извещать, уведомлять
dues|сборы, взносы
perfect|совершенный
passion|страсть
fine|прекрасно, прекрасный
find|найти, находить
vow|обет, клятва
wheat|пшеница
film|фотопленка, фильм
profit|прибыль
rice|рис
rick|стог, складывать в стог
rich|богатый
marmot|сурок
fill|заполнить, наполнить
glanced|Поглядел
wishing|Пожелание
genus|Род
cherry|вишня
safety|безопасность
outer|внешний
savage|дикарь
cinema|кино
engaged|занятый, помолвленный
confuse|смущать, приводить в замешательство
clap|хлопать, аплодировать; удар, хлопок -p
nieces|Племянницы
assume|принимать на себя
claw|коготь, клешня
channel|канал
atlas|атлас
robots|Роботы
periods|Периоды
ralph|Ральф
folly|глупость
yuri|Юрий
reprove|порицать, делать выговор
horn|рог, забодать
brushed|Чистил
float|плавать, поплавок
parade|парад
hose|чулки
time|время
married|женатый, замужняя
barn|амбар
refer|отсылать, ссылаться
bark|кора дерева
woken|разбуженный
thereby|таким образом
dorothy|Дороти
minded|Склонный
bare|голый, бедный, простой
opened|открыл, открытый
thunder|гром, греметь
meddle|вмешиваться
host|хозяин
notion|понятие
mansion|дворец
maths|математика
shown|Показанным
isobel|Исобел
wide|широкий
neutral|нейтральный
alec|Алек
worship|поклоняться
tail|конец, хвост
clung|Цеплялся
extract|удалять, извлекать; экстракт, выдержка
pocket|карман
bite|кусаться
lined|Выровненный
prefix|префикс, приставка
wealth|богатство
herself|себя
uncle|дядя
linen|белье
vex|раздражать, сердить
queer|странный, эксцентричный
smooth|гладкий
queen|королева
depart|отбывать, уезжать
butcher|мясник
chiefly|главным образом
beware|осторожно
namely|а именно
partly|частично
patient|пациент, терпеливый
scenes|сцены, эпизоды
bath|ванна
carla|Карла
madly|безумно
lived|жил, живший
recoil|отдача, отпрянуть, испытывать ужас
ensure|обеспечивать, гарантировать
fritter|пончик, крошить
member|член
lizard|ящерица
waver|колебаться, быть в нерешительности
bars|Бруски
buttons|Кнопки
hour|час
meaning|значение
till|до
nerve|нерв
edible|съедобный
bird|птица
utility|полезность, выгодность, удобства, коммунальные услуги
incur|подвергаться
waved|Махал
elegant|изящный
comfort|удобство, утешение, утешать
bass|бас, басовый
arouse|будить, пробуждать
tile|черепица, кафель
breeder|производитель
base|основа
aunt|тетя
public|общественный
client|клиент
ditch|канава
qualify|квалифицировать
kate|Кейт
bounce|отскакивать
fate|судьба
faucet|водопроводный кран, вентиль
cock|петух, задирать
kiss|целовать
thimble|наперсток, наконечник
band|лента, оркестр, ансамбль
grapes|виноград
bank|банк
overall|всеобщий
tank|танк, резервуар
devote|посвящать
hood|капюшон, капор, колпак, крышка
trains|поезда
bang|ударять, хлопать
hoof|копыто
dad|папа, отец
hook|крючок
vital|жизненный, крайне необходимый
flames|Огонь
motive|повод, мотив
hoop|обруч
code|код
creak|скрип, скрипеть
jessamy|Джессами
cream|сливки, крем
tame|приручать, приручить, прирученный
bounds|граница, ограничение
careers|профессии
rising|возрастающий
dan|Дэн
rebuff|неудача, отпор
dam|дамба, плотина
day|день
prefer|предпочитать
fast|спешащий, сильно, быстро
large|большой
hope|надеяться
van|фургон, багажный вагон
guffaw|хохот
bill|счет, законопроект
emperor|император
powder|пудра
boldly|Смело
blaze|пламя, пылать, гореть
surly|угрюмый, неприветливый r
drinks|напитки
flock|стадо, стая
creator|творец, создатель, автор
feeble|слабый, бледный
lad|мальчик, юноша, парень
farm|ферма
lights|фары
author|автор
ally|союзник, соединять
